emp_id,age,Dept,location,education,recruitment_type,job_level,rating,onsite,awards,certifications,salary,satisfied
HR8270,28,Emergency Physician,Suburb,PG,Referral,5,2,0,1,0,86750,1
TECH1860,50,Nurse Practitioner,Suburb,PG,Walk-in,3,5,1,2,1,42419,0
TECH6390,43,General Practitioner,Suburb,UG,Referral,4,1,0,2,0,65715,0
SAL6191,44,Orthopedic Surgeon,City,PG,On-Campus,2,3,1,0,0,29805,1
HR6734,33,Radiologist,City,UG,Recruitment Agency,2,1,0,5,0,29805,1
PUR7265,40,Orthopedic Surgeon,Suburb,UG,Referral,3,3,0,7,1,42419,1
PUR1466,26,Pediatrician,Suburb,UG,Referral,5,5,0,2,0,86750,0
TECH5426,25,Anesthesiologist,City,UG,Recruitment Agency,1,1,0,4,0,24076,0
HR6578,35,Orthopedic Surgeon,City,PG,Referral,3,4,0,0,0,42419,1
TECH9322,45,Nurse Practitioner,City,PG,Referral,3,3,0,9,0,42419,0
MKT2685,31,Neurologist,City,UG,Walk-in,4,4,1,6,0,65715,1
TECH1769,43,Registered Nurse,Suburb,PG,Recruitment Agency,2,1,0,9,1,29805,1
TECH7949,28,Pediatrician,City,UG,On-Campus,3,4,1,0,0,42419,0
PUR3433,48,Nurse Assistant,Suburb,PG,Referral,3,4,1,8,0,42419,1
PUR6311,52,Surgeon,City,PG,Recruitment Agency,5,1,1,7,0,86750,1
PUR6051,50,Surgeon,City,UG,Walk-in,5,5,1,6,0,86750,1
MKT7420,34,Emergency Physician,City,PG,On-Campus,1,4,1,9,0,24076,0
PUR2184,24,Oncologist,Suburb,UG,Recruitment Agency,4,4,0,6,0,65715,1
HR5555,54,Cardiologist,Suburb,PG,On-Campus,1,5,0,4,0,24076,1
SAL4385,25,Nurse Assistant,City,UG,On-Campus,5,4,0,4,0,86750,1
HR7396,25,Pediatrician,Suburb,UG,On-Campus,2,4,1,4,0,29805,1
HR9666,50,Pediatrician,Suburb,PG,Referral,5,4,0,0,0,86750,1
PUR3558,34,Surgeon,City,PG,Referral,4,2,0,7,1,65715,1
SAL8849,37,Cardiologist,City,UG,Walk-in,5,5,0,0,1,86750,1
SAL3047,31,Nurse Practitioner,Suburb,PG,Walk-in,4,4,0,3,1,65715,0
SAL3747,53,Anesthesiologist,Suburb,PG,Recruitment Agency,4,5,0,8,1,65715,0
MKT1189,45,Surgeon,Suburb,UG,Walk-in,4,3,1,8,0,65715,1
PUR3734,30,Anesthesiologist,City,UG,On-Campus,4,3,0,4,1,65715,0
SAL4005,33,Registered Nurse,City,PG,On-Campus,4,4,1,3,1,65715,0
MKT5658,38,Orthopedic Surgeon,Suburb,UG,Referral,2,5,1,2,0,29805,1
TECH2899,54,General Practitioner,City,UG,On-Campus,1,5,1,2,1,24076,0
TECH8734,48,Orthopedic Surgeon,City,UG,Recruitment Agency,3,5,1,4,1,42419,1
MKT2267,49,Nurse Practitioner,Suburb,PG,On-Campus,1,2,1,9,0,24076,1
MKT2528,47,General Practitioner,Suburb,PG,On-Campus,4,3,0,0,0,65715,1
PUR4556,44,Neurologist,City,UG,Recruitment Agency,2,5,0,4,0,29805,1
PUR4890,26,Orthopedic Surgeon,City,PG,Walk-in,5,5,0,5,1,86750,1
TECH9838,50,Surgeon,Suburb,UG,Walk-in,2,2,1,6,1,29805,0
SAL6393,23,Cardiologist,City,PG,Recruitment Agency,4,2,0,8,0,65715,1
TECH9792,46,Orthopedic Surgeon,City,UG,Referral,2,5,0,2,0,29805,0
